symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2024-01-16,182.16,184.26,180.93,183.63,65603041,1.47,0.80698,182.745
AAPL,2024-01-17,181.27,182.93,180.3,182.68,47317433,1.41,0.77785,181.795
AAPL,2024-01-18,186.09,189.14,185.83,188.63,78005800,2.54,1.36,187.4225
AAPL,2024-01-19,189.33,191.95,188.82,191.56,68903000,2.23,1.18,190.415
AAPL,2024-01-22,192.3,195.33,192.26,193.89,60133900,1.59,0.82683,193.445
AAPL,2024-01-23,195.02,195.75,193.83,195.18,42355600,0.16,0.08204287,194.945
AAPL,2024-01-24,195.42,196.38,194.34,194.5,53631316,-0.92,-0.47078,195.16
AAPL,2024-01-25,195.22,196.27,193.11,194.17,54822126,-1.05,-0.53785,194.6925
AAPL,2024-01-26,194.27,194.76,191.94,192.42,44594011,-1.85,-0.95228,193.3475
AAPL,2024-01-29,192.01,192.2,189.58,191.73,47145622,-0.28,-0.14583,191.38
AAPL,2024-01-30,190.94,191.8,187.47,188.04,55859400,-2.9,-1.52,189.5625
AAPL,2024-01-31,187.04,187.1,184.35,184.4,55467803,-2.64,-1.41,185.7225
AAPL,2024-02-01,183.99,186.95,183.82,186.86,64885408,2.88,1.56,185.405
AAPL,2024-02-02,179.86,187.33,179.25,185.85,102551700,5.99,3.33,183.0725
AAPL,2024-02-05,188.15,189.25,185.84,187.68,69668820,-0.47,-0.2498,187.73
AAPL,2024-02-06,186.86,189.31,186.77,189.3,43490800,2.44,1.31,188.06
AAPL,2024-02-07,190.64,191.05,188.61,189.41,53439000,-1.23,-0.6452,189.9275
AAPL,2024-02-08,189.39,189.54,187.35,188.32,40962046,-1.06,-0.56497,188.65
AAPL,2024-02-09,188.65,189.99,188.0,188.85,45155216,0.2,0.10602,188.8725
AAPL,2024-02-12,188.42,188.67,186.79,187.15,41781934,-1.26,-0.67403,187.7575
AAPL,2024-02-13,185.77,186.21,183.51,185.04,56529529,-0.73,-0.39296,185.1325
AAPL,2024-02-14,185.32,185.53,182.44,184.15,54630517,-1.17,-0.63134,184.36
AAPL,2024-02-15,183.55,184.49,181.35,183.86,65434500,0.31,0.16889,183.3125
AAPL,2024-02-16,183.42,184.85,181.67,182.31,49752500,-1.11,-0.60517,183.0625
AAPL,2024-02-20,181.79,182.43,180.0,181.56,53665600,-0.23,-0.12652,181.445
AAPL,2024-02-21,181.94,182.89,180.66,182.32,41529674,0.38,0.20886,181.9525
AAPL,2024-02-22,183.48,184.96,182.46,184.37,52292208,0.89,0.48507,183.8175
AAPL,2024-02-23,185.01,185.04,182.23,182.52,45119700,-2.49,-1.35,183.7
AAPL,2024-02-26,182.24,182.76,180.65,181.16,40867421,-1.08,-0.59263,181.7025
AAPL,2024-02-27,181.1,183.92,179.56,182.63,54318900,1.53,0.84484,181.8025
AAPL,2024-02-28,182.51,183.12,180.13,181.42,48953939,-1.09,-0.59723,181.795
AAPL,2024-02-29,181.27,182.57,179.53,180.75,136682600,-0.52,-0.28686,181.03
AAPL,2024-03-01,179.55,180.53,177.38,179.66,73563100,0.11,0.06126427,179.28
AAPL,2024-03-04,176.15,176.9,173.79,175.1,81510101,-1.05,-0.59608,175.485
AAPL,2024-03-05,170.76,172.04,169.62,170.12,95132400,-0.64,-0.3748,170.635
AAPL,2024-03-06,171.06,171.24,168.68,169.12,68587707,-1.94,-1.13,170.025
AAPL,2024-03-07,169.15,170.73,168.49,169.0,71765100,-0.15,-0.08867869,169.3425
AAPL,2024-03-08,169.0,173.7,168.94,170.73,76267041,1.73,1.02,170.5925
AAPL,2024-03-11,172.94,174.38,172.05,172.75,60139500,-0.19,-0.10986,173.03
AAPL,2024-03-12,173.15,174.03,171.01,173.23,59825400,0.08,0.04620271,172.855
AAPL,2024-03-13,172.77,173.19,170.76,171.13,52488700,-1.64,-0.94924,171.9625
AAPL,2024-03-14,172.91,174.31,172.05,173.0,72913507,0.09,0.0520502,173.0675
AAPL,2024-03-15,171.17,172.62,170.29,172.62,121752700,1.45,0.84711,171.675
AAPL,2024-03-18,175.57,177.71,173.52,173.72,75604200,-1.85,-1.05,175.13
AAPL,2024-03-19,174.34,176.61,173.03,176.08,55215244,1.74,0.99805,175.015
AAPL,2024-03-20,175.72,178.67,175.09,178.67,53423102,2.95,1.68,177.0375
AAPL,2024-03-21,177.05,177.49,170.84,171.37,106181300,-5.68,-3.21,174.1875
AAPL,2024-03-22,171.76,173.05,170.06,172.28,71160138,0.52,0.30275,171.7875
AAPL,2024-03-25,170.57,171.94,169.45,170.85,54288328,0.285,0.16416,170.7025
AAPL,2024-03-26,170.0,171.42,169.58,169.71,57388449,-0.29,-0.17059,170.1775
AAPL,2024-03-27,170.41,173.6,170.11,173.31,60273300,2.9,1.7,171.8575
AAPL,2024-03-28,171.75,172.23,170.51,171.48,65672700,-0.27,-0.15721,171.4925
AAPL,2024-04-01,171.19,171.25,169.48,170.03,46240500,-1.16,-0.67761,170.4875
AAPL,2024-04-02,169.08,169.34,168.23,168.84,49329500,-0.24,-0.14194,168.8725
AAPL,2024-04-03,168.79,170.68,168.58,169.65,47691715,0.86,0.50951,169.425
AAPL,2024-04-04,170.29,171.92,168.82,168.82,53704400,-1.47,-0.86323,169.9625
AAPL,2024-04-05,169.59,170.39,168.95,169.58,42104826,-0.01,-0.00589657,169.6275
AAPL,2024-04-08,169.03,169.2,168.24,168.45,37425513,-0.58,-0.34313,168.73
AAPL,2024-04-09,168.7,170.08,168.35,169.67,42451209,0.97,0.57499,169.2
AAPL,2024-04-10,168.8,169.09,167.11,167.78,49709336,-1.02,-0.60427,168.195
AAPL,2024-04-11,168.34,175.46,168.16,175.04,91070300,6.7,3.98,171.75
