symbol,earnings_date,session,effective_session,t0_date,t1_date,t2_date,t0_open,t0_high,t0_low,t0_close,t0_volume,t1_open,t1_high,t1_low,t1_close,t1_volume,t2_open,t2_high,t2_low,t2_close,t2_volume,R1,Gap2,abs_R1,abs_Gap2
JPM,2026-01-13,unknown,amc,2026-01-13,2026-01-14,2026-01-15,324.3,326.86,310.57,310.9,19371200,308.2,311.76,306.12,307.87,25951500,308.47,312.94,307.75,309.34,14751447,-0.009745899002894687,0.001948874524961841,0.009745899002894687,0.001948874524961841
WMT,2025-11-20,unknown,amc,2025-11-20,2025-11-21,2025-11-24,103.94,107.91,102.68,107.11,50375920,107.98,108.15,104.72,105.32,41420800,105.36,106.27,103.76,104.06,42519200,-0.016711791616095706,0.00037979491074824345,0.016711791616095706,0.00037979491074824345
XOM,2025-10-31,unknown,amc,2025-10-31,2025-11-03,2025-11-04,113.98,115.23,112.62,114.36,20213400,114.5,114.99,113.64,113.76,12290304,113.38,114.35,112.51,114.14,16860741,-0.005246589716684125,-0.0033403656821379135,0.005246589716684125,0.0033403656821379135
AAPL,2025-10-30,unknown,amc,2025-10-30,2025-10-31,2025-11-03,271.99,274.14,268.48,271.4,69886534,276.99,277.32,269.16,270.37,86167123,270.42,270.85,266.25,269.05,50194600,-0.0037951363301399477,0.00018493176018052893,0.0037951363301399477,0.00018493176018052893
JPM,2025-10-14,unknown,amc,2025-10-14,2025-10-15,2025-10-16,305.84,307.0,294.21,302.08,16178800,306.39,312.12,305.44,305.69,11354800,305.35,308.68,297.07,298.54,10549447,0.011950476694915224,-0.0011122378880564776,0.011950476694915224,0.0011122378880564776
JNJ,2025-10-14,unknown,amc,2025-10-14,2025-10-15,2025-10-16,192.92,194.4,185.88,190.85,13613340,191.48,193.57,189.3,191.17,9473000,191.34,193.05,190.43,192.12,10611800,0.0016767094576892738,0.0008892608672910196,0.0016767094576892738,0.0008892608672910196
WMT,2025-08-21,unknown,amc,2025-08-21,2025-08-22,2025-08-25,99.41,99.45,96.95,97.96,51825100,98.07,99.05,96.76,96.83,32695200,97.0,97.58,96.07,96.07,18956143,-0.01153532053899542,0.0017556542393886154,0.01153532053899542,0.0017556542393886154
XOM,2025-08-01,unknown,amc,2025-08-01,2025-08-04,2025-08-05,112.0,112.54,108.86,109.64,19652030,109.22,109.92,107.09,107.37,19129500,107.22,107.82,106.07,107.24,21314300,-0.02070412258299892,-0.00139703827884885,0.02070412258299892,0.00139703827884885
AAPL,2025-07-31,unknown,amc,2025-07-31,2025-08-01,2025-08-04,208.49,209.84,207.16,207.57,80698431,210.87,213.58,201.5,202.38,104434500,204.51,207.88,201.68,203.35,75109300,-0.02500361323890732,0.010524755410613595,0.02500361323890732,0.010524755410613595
JNJ,2025-07-16,unknown,amc,2025-07-16,2025-07-17,2025-07-18,160.3,166.12,159.8,164.78,22134800,163.18,164.7,162.3,162.98,11295747,163.93,165.1,163.36,163.7,9793046,-0.010923655783468988,0.005828936065775059,0.010923655783468988,0.005828936065775059
JPM,2025-07-15,unknown,amc,2025-07-15,2025-07-16,2025-07-17,288.0,291.95,285.48,286.55,12526110,288.4,290.73,283.01,285.82,9979800,283.44,290.3,283.44,289.9,8509504,-0.002547548420869017,-0.008326919039955194,0.002547548420869017,0.008326919039955194
WMT,2025-05-15,unknown,amc,2025-05-15,2025-05-16,2025-05-19,94.3,96.72,91.89,96.35,44026125,96.14,99.19,96.0,98.24,33746200,96.65,98.28,95.81,98.12,20041600,0.01961598339387649,-0.016184853420195378,0.01961598339387649,0.016184853420195378
XOM,2025-05-02,unknown,amc,2025-05-02,2025-05-05,2025-05-06,107.72,109.0,104.55,106.21,16581900,104.65,104.66,103.07,103.27,19624000,103.89,105.98,103.48,104.71,16303449,-0.027681009321156136,0.006003679674639439,0.027681009321156136,0.006003679674639439
AAPL,2025-05-01,unknown,amc,2025-05-01,2025-05-02,2025-05-05,209.08,214.56,208.9,213.32,57365700,206.09,206.99,202.16,205.35,101010621,203.1,204.1,198.21,198.89,69018500,-0.03736171010688172,-0.010956902848794692,0.03736171010688172,0.010956902848794692
JNJ,2025-04-15,unknown,amc,2025-04-15,2025-04-16,2025-04-17,155.7,156.3,152.1,153.62,10847700,155.37,155.63,152.24,153.91,7987296,154.16,159.44,154.16,157.47,10981100,0.0018877750292929374,0.0016243259047494796,0.0018877750292929374,0.0016243259047494796
JPM,2025-04-11,unknown,amc,2025-04-11,2025-04-14,2025-04-15,226.31,238.58,225.0,236.2,20284500,237.1,239.78,233.63,234.72,13017824,236.1,238.65,232.82,233.13,10912900,-0.00626587637595255,0.005879345603271968,0.00626587637595255,0.005879345603271968
WMT,2025-02-20,unknown,amc,2025-02-20,2025-02-21,2025-02-24,98.78,100.12,96.68,97.21,55450924,96.53,96.85,94.12,94.78,35014806,94.18,94.64,92.12,93.67,29755900,-0.024997428248122566,-0.006330449461911747,0.024997428248122566,0.006330449461911747
XOM,2025-01-31,unknown,amc,2025-01-31,2025-02-03,2025-02-04,110.55,110.55,106.1,106.83,20381446,106.64,107.3,105.32,107.09,14623200,106.71,110.28,106.53,109.96,14835700,0.002433773284657992,-0.003548417219161548,0.002433773284657992,0.003548417219161548
AAPL,2025-01-30,unknown,amc,2025-01-30,2025-01-31,2025-02-03,238.67,240.79,237.21,237.59,55658300,247.19,247.19,233.44,236.0,101075128,229.99,231.83,225.7,228.01,73063301,-0.006692200850204166,-0.025466101694915255,0.006692200850204166,0.025466101694915255
JNJ,2025-01-22,unknown,amc,2025-01-22,2025-01-23,2025-01-24,144.0,145.47,142.11,145.27,16834747,145.44,147.91,144.81,146.64,10506361,146.81,147.63,146.38,146.82,9887682,0.009430715219935104,0.0011593016912165854,0.009430715219935104,0.0011593016912165854
JPM,2025-01-15,unknown,amc,2025-01-15,2025-01-16,2025-01-17,250.4,253.67,243.68,252.35,18448520,254.0,257.04,252.33,254.27,15292348,254.14,260.62,252.14,259.16,17678101,0.00760848028531802,-0.0005112675502420005,0.00760848028531802,0.0005112675502420005
WMT,2024-11-19,unknown,amc,2024-11-19,2024-11-20,2024-11-21,86.23,88.29,85.91,86.6,36340900,86.6,87.2,85.91,87.18,18183200,87.45,88.64,86.93,88.39,18729222,0.006697459584295684,0.0030970406056434197,0.006697459584295684,0.0030970406056434197
XOM,2024-11-01,unknown,amc,2024-11-01,2024-11-04,2024-11-05,119.93,119.95,114.84,114.95,20939321,116.07,118.7,115.93,118.61,14965433,119.08,119.21,118.01,118.96,10436744,0.0318399304045236,0.0039625663940645595,0.0318399304045236,0.0039625663940645595
